Node ID,Option 1 Text ,Option 1 Link,Process 1 Text,Option 2 Text,Option 2 Link,Process 2 Text,Option 3 Text,Option 3 Link,Process 3 Text,Description
1,Group Study,2,Discuss and outline group goals,Solo Study,6,Prepare a task lisk for yourself,Both,10,Decide which topics for group or solo work,Do you prefer Group Study?
2,Divide Tasks,3,Assign tasks to group members,Study One Topic as a Group,10,Collaboratively review and discuss the intended topic,Dependent on Time,11,Evaluate available time for task-sharing,Do you divide tasks among members?
3,Strength Based,4,Assign tasks according to individual strengths,Random,11,Distribute tasks randomly,Dependent on Time,12,Decide based on time constraints,Are tasks assigned based on individual strengths?
4,Work Separately,5,Define clear individual goals,Collaborate Together,12,Coordinate efforts for shared progress,Occasionally Collaborate,20,Set collaboration boundaries,Do team members works seperately
5,Frequently Looked at,41,Frequently reevaluate task progress,Rarely Reevaluated,42,Evaluate tasks less frequently,No Reevaluation,43,Tasks proceed without reevaluation,Does the team reevaluate tasks throughout the process
6,Focus on One,13,Concentrate fully on a singe task,Multiple Tasks,7,Plan multiple tasks with clear prioritisation,Adaptive to my Mood,20,Choose tasks based on mood and motivation,Do you focus on one task until completion 
7,Stop if Struggling,14,Switch tasks to allow yourself time to think,Persist Regardless,8,Continue despite challenges Perseverence!,Ask for Help,9,Seek guidance or support via classmates/ module co-ordinator,Do you often stop a task if you are struggling and move on to another
8,Predefined List,15,Use a pre-made list of tasks,Randomised,9,Select tasks at random,Adjust Based on Available Resources,45,Modify tasks dynamically based on resources,Do you rely on a list/schedule to decide what task to do next?
9,Switch Based on Resources,45,Tasks are shifted based on availablity of resources,Stick to Initial Plan,44,Maintain the original task sequence,Reassess After a Period of Time,10,Periodically review and adjust task order,Do you switch tasks based on available resources?
10,Focus on One Topic,16,Focus exclusively on one topic,More Than One Topic at a Time,17,Focus on multiple tpic at the same time ,Adaptive to Mood,11,Choose tasks flexibly based on mood,Do all members focus on the same task/topic at the same time?
11,Importance,18,Prioritise based on importance,Availability,19,Prioritise tasks based on availablity,Difficulty,20,Tackle more complex tasks,Are tasks assigned based on difficulty or importance
